Nome_Produto,Categoria_Produto,Subcategoria_Produto,Perfil_Sabor_Predominante,Textura_Predominante,Cor_Predominante_Visual,Uso_Culinario_Principal
Abacate,Fruta,"Baga (botanicamente)","Levemente Doce, Cremoso","Cremoso","Verde","Saladas;Vitaminas;Guacamole;Cru"
Atemóia,Fruta,"Híbrida (Cherimoya x Pinha)","Doce,Muito Doce","Cremoso, Macio","Branco-esverdeado","Cru;Sobremesas;Sucos"
Banana,Fruta,"Baga (botanicamente)","Doce","Macio","Amarelo (casca), Branco (polpa)","Cru;Vitaminas;Bolos;Sobremesas"
Cajamanga,Fruta,Drupa,"Ácido, Levemente Doce","Fibroso, Suculento","Amarelo, Laranja","Sucos;Sorvetes;Geleias;Cru (maduro)"
Coco,Fruta,"Drupa (fibrosa)/Oleaginosa","Doce (água e polpa jovem),Levemente Doce (polpa madura)","Líquido (água), Fibroso/Carnudo (polpa)","Marrom (casca), Branco (polpa)","Água de coco;Leite de coco;Óleo de coco;Doces;Cru"
Goiaba,Fruta,Baga,"Doce, Ácido","Macio, Granuloso (algumas vars.)","Branco, Rosa, Vermelho","Cru;Sucos;Geleias;Doces"
Graviola,Fruta,"Baga (coletiva)","Doce, Ácido","Fibroso, Suculento","Verde (casca), Branco (polpa)","Sucos;Sorvetes;Doces;Cru"
Lichia,Fruta,Drupa,"Doce, Floral","Suculento, Translúcido","Vermelho (casca), Branco (polpa)","Cru;Sucos;Sobremesas;Chás"
Limão,Fruta,"Cítrica (Hesperídio)","Ácido,Azedo","Suculento","Verde, Amarelo","Sucos;Temperos;Molhos;Sobremesas"
Mamão,Fruta,Baga,"Doce","Macio, Suculento","Laranja, Amarelo","Cru;Vitaminas;Saladas de frutas;Doces"
Manga,Fruta,Drupa,"Doce, Aromático","Fibroso (algumas vars.), Macio, Suculento","Laranja, Amarelo, Vermelho","Cru;Sucos;Sobremesas;Saladas"
Maracujá,Fruta,"Baga (Pepo)","Ácido, Doce (algumas vars.)","Polpa gelatinosa, Sementes crocantes","Amarelo, Roxo","Sucos;Mousses;Molhos;Sobremesas"
Pitaia,Fruta,"Cactácea (Hilocereus)","Suavemente Doce, Levemente Ácido","Macio, Suculento, Sementes pequenas","Branco, Rosa, Amarelo (polpa)","Cru;Sucos;Saladas;Sobremesas"
Tangerina,Fruta,"Cítrica (Hesperídio)","Doce, Ácido","Suculento, Gomoso","Laranja","Cru;Sucos;Gomos em saladas"
Uva,Fruta,Baga,"Doce, Ácido (dependendo da var.)","Suculento, Casca firme","Verde, Roxa, Rosada","Cru;Sucos;Vinhos;Geleias;Passas"
Abóbora,"Legume (culinário)/Fruta (botânico)",Cucurbitácea,"Levemente Doce, Neutro","Macio (cozida), Firme (crua)","Laranja, Amarelo, Verde","Cozidos;Assados;Sopas;Purês;Doces"
Agrião,Verdura,"Hortaliça Folhosa","Picante Suave, Amargo","Crocante, Tenro","Verde escuro","Saladas;Sopas;Molhos;Cru"
Alface,Verdura,"Hortaliça Folhosa","Suave, Neutro","Crocante, Macio","Verde, Roxa","Saladas;Sanduíches;Cru"
Alho,"Tempero/Bulbo",Liliácea,"Picante, Adstringente (cru), Doce (assado)","Firme, Crocante (cru), Macio (cozido)","Branco, Roxo","Temperos;Molhos;Refogados"
Batata,Tubérculo,Solanácea,"Neutro, Levemente Terroso","Farinhento, Macio (cozida)","Amarelo, Branco, Casca marrom/vermelha","Cozidos;Assados;Fritos;Purês;Sopas"
"Batata-doce","Raiz Tuberosa",Convolvulácea,Doce,"Macio (cozida), Firme (crua)","Laranja, Roxa, Branca","Cozidos;Assados;Purês;Doces;Frita"
Berinjela,"Legume (culinário)/Fruta (botânico)",Solanácea,"Suave, Levemente Amargo","Esponjoso, Macio (cozida)","Roxo escuro, Branco","Cozidos;Assados;Refogados;Antepastos;Molhos"
Beterraba,"Raiz Tuberosa",Quenopodiácea,"Doce, Terroso","Firme (crua), Macio (cozida)","Roxo, Vermelho","Saladas;Sucos;Cozidos;Assados;Conservas"
Brócolis,Verdura,"Flor/Hortaliça Brássica","Suave, Levemente Amargo","Crocante, Tenro (cozido)","Verde escuro","Cozidos;Assados;Saladas (cozido ou cru);Sopas"
Cebola,"Tempero/Bulbo",Liliácea,"Picante, Adstringente (crua), Doce (cozida)","Crocante (crua), Macio (cozida)","Branco, Amarelo, Roxo","Temperos;Molhos;Refogados;Saladas (crua)"
Cebolinha,"Erva Aromática/Tempero",Liliácea,"Suavemente Picante (cebola)","Firme, Tenro","Verde","Temperos;Finalização de pratos;Saladas"
Cenoura,Raiz,Apiácea,"Doce, Levemente Terroso","Crocante (crua), Macio (cozida)","Laranja","Saladas;Sucos;Cozidos;Assados;Bolos"
Chuchu,"Legume (culinário)/Fruta (botânico)",Cucurbitácea,"Neutro, Suave","Aquoso, Macio (cozido)","Verde claro","Cozidos;Refogados;Sopas;Saladas (cozido)"
Coentro,"Erva Aromática/Tempero",Apiácea,"Cítrico, Forte, Penetrante (ame ou odeie)","Tenro (folhas), Crocante (talos)","Verde","Temperos;Finalização de pratos;Molhos (especialmente indiano, tailandês, mexicano)"
Couve,Verdura,"Hortaliça Folhosa/Brássica","Levemente Amargo, Terroso","Fibroso, Crocante (crua), Macio (cozida)","Verde escuro","Refogados;Sopas (caldo verde);Saladas (crua fina);Sucos (detox)"
"Couve-flor",Verdura,"Flor/Hortaliça Brássica","Suave, Levemente Adocicado","Granuloso, Firme (crua), Macio (cozida)","Branco, Roxo, Verde","Cozidos;Assados;Purês;Gratinados;Saladas (crua ou cozida)"
Gengibre,"Tempero/Rizoma",Zingiberácea,"Picante, Cítrico, Refrescante","Fibroso, Crocante","Amarelo claro (polpa), Marrom (casca)","Chás;Temperos;Molhos;Sucos;Doces"
Jiló,"Legume (culinário)/Fruta (botânico)",Solanácea,Amargo,"Firme, Macio (cozido)","Verde","Cozidos;Refogados;Fritos;Conservas"
Mandioca,"Raiz Tuberosa",Euforbiácea,"Neutro, Levemente Adocicado","Farinhento, Macio (cozida)","Branco, Amarelo (polpa), Marrom (casca)","Cozidos;Fritos;Farinhas;Purês;Sopas"
"Milho doce","Grão/Cereal",Poácea,Doce,"Suculento, Crocante (grãos)","Amarelo","Conserva;Saladas;Cozido na espiga;Pratos diversos"
"Milho-verde","Grão/Cereal",Poácea,"Levemente Doce, Neutro (maduro)","Suculento (novo), Farinhento (maduro)","Amarelo, Branco","Cozido na espiga;Pamonha;Curau;Bolos;Sopas"
Morango,Fruta,"Baga (pseudofruto)","Doce, Ácido","Macio, Suculento","Vermelho","Cru;Sobremesas;Sucos;Geleias;Saladas"
Pepino,"Legume (culinário)/Fruta (botânico)",Cucurbitácea,"Refrescante, Neutro","Aquoso, Crocante","Verde","Saladas;Sucos;Conservas;Cru"
Pimentão,"Legume (culinário)/Fruta (botânico)",Solanácea,"Levemente Doce (maduro), Neutro/Adstringente (verde)","Crocante, Aquoso","Verde, Amarelo, Vermelho, Laranja","Saladas;Molhos;Recheados;Assados;Refogados"
Quiabo,"Legume (culinário)/Fruta (botânico)",Malvácea,"Suave, Neutro","Viscoso (baba), Macio (cozido)","Verde","Cozidos;Refogados;Fritos (sem baba);Frango com quiabo"
Repolho,Verdura,"Hortaliça Brássica","Suave, Levemente Adocicado/Picante",Crocante,"Verde, Roxo","Saladas (cru);Refogados;Chucrute;Sopas"
Tomate,"Fruta (botânico)/Legume (culinário)",Solanácea,"Ácido, Umami, Doce (maduro)","Suculento, Macio","Vermelho, Amarelo, Laranja","Saladas;Molhos;Sucos;Cru;Cozidos"
